name,type,start_time,duration
"Bitbang SPI","enable",4.748163583,0.000000083
"Bitbang SPI","disable",4.74817,0.000000083
"Bitbang SPI","enable",4.748172833,0.000000083
"Bitbang SPI","disable",4.748176,0.000000083
"Bitbang SPI","enable",4.748178917,0.000000083
"Bitbang SPI","disable",4.748182083,0.000000083
"Bitbang SPI","enable",4.748184917,0.000000083
"Bitbang SPI","disable",4.748188083,0.000000083
"Bitbang SPI","enable",4.748191,0.000000083
"Bitbang SPI","disable",4.748194167,0.000000083
"Bitbang SPI","enable",4.748197,0.000000083
"Bitbang SPI","disable",4.74820025,0.000000083
"Bitbang SPI","enable",4.748203083,0.000000083
"Bitbang SPI","disable",4.74820625,0.000000083
"Bitbang SPI","enable",4.748209167,0.000000083
"Bitbang SPI","disable",4.748212333,0.000000083
"Bitbang SPI","enable",4.748215167,0.000000083
"Bitbang SPI","disable",4.748559917,0.000000083
"Bitbang SPI","enable",4.74856275,0.000000083
"Bitbang SPI","disable",4.748566,0.000000083
"Bitbang SPI","enable",4.748568833,0.000000083
"Bitbang SPI","disable",4.748572,0.000000083
"Bitbang SPI","enable",4.748574917,0.000000083
"Bitbang SPI","disable",4.748578083,0.000000083
"Bitbang SPI","enable",4.748580917,0.000000083
"Bitbang SPI","disable",4.748584083,0.000000083
"Bitbang SPI","enable",4.748587,0.000000083
"Bitbang SPI","disable",4.748590167,0.000000083
"Bitbang SPI","enable",4.748593,0.000000083
"Bitbang SPI","disable",4.748596167,0.000000083
"Bitbang SPI","enable",4.748599083,0.000000083
"Bitbang SPI","disable",4.74860225,0.000000083
"Bitbang SPI","enable",4.748605083,0.000000083
"Bitbang SPI","disable",4.74860875,0.000000083
"Bitbang SPI","enable",4.748611667,0.000000083
"Bitbang SPI","disable",4.748614833,0.000000083
"Bitbang SPI","enable",4.748617667,0.000000083
"Bitbang SPI","disable",4.748620833,0.000000083
"Bitbang SPI","enable",4.748623667,0.000000083
"Bitbang SPI","disable",4.748626917,0.000000083
"Bitbang SPI","enable",4.74862975,0.000000083
"Bitbang SPI","disable",4.748632917,0.000000083
"Bitbang SPI","enable",4.74863575,0.000000083
"Bitbang SPI","disable",4.748639,0.000000083
"Bitbang SPI","enable",4.748641833,0.000000083
"Bitbang SPI","disable",4.748645,0.000000083
"Bitbang SPI","enable",4.748647917,0.000000083
"Bitbang SPI","disable",4.748651083,0.000000083
"Bitbang SPI","enable",4.748653917,0.000000083
"Bitbang SPI","disable",4.748657583,0.000000083
"Bitbang SPI","enable",4.748660417,0.000000083
"Bitbang SPI","disable",4.748663667,0.000000083
"Bitbang SPI","enable",4.7486665,0.000000083
"Bitbang SPI","disable",4.748669667,0.000000083
"Bitbang SPI","enable",4.748672583,0.000000083
"Bitbang SPI","disable",4.74867575,0.000000083
"Bitbang SPI","enable",4.748678583,0.000000083
"Bitbang SPI","disable",4.74868175,0.000000083
"Bitbang SPI","enable",4.748684667,0.000000083
"Bitbang SPI","disable",4.748687833,0.000000083
"Bitbang SPI","enable",4.748690667,0.000000083
"Bitbang SPI","disable",4.748693833,0.000000083
"Bitbang SPI","enable",4.74869675,0.000000083
"Bitbang SPI","disable",4.748699917,0.000000083
"Bitbang SPI","enable",4.74870275,0.000000083
"Bitbang SPI","disable",4.748709333,0.000000083
"Bitbang SPI","enable",4.748712167,0.000000083
"Bitbang SPI","disable",4.748715333,0.000000083
"Bitbang SPI","enable",4.74871825,0.000000083
"Bitbang SPI","disable",4.748721417,0.000000083
"Bitbang SPI","enable",4.74872425,0.000000083
"Bitbang SPI","disable",4.7487275,0.000000083
"Bitbang SPI","enable",4.748730333,0.000000083
"Bitbang SPI","disable",4.7487335,0.000000083
"Bitbang SPI","enable",4.748736417,0.000000083
"Bitbang SPI","disable",4.748739583,0.000000083
"Bitbang SPI","enable",4.748742417,0.000000083
"Bitbang SPI","disable",4.748745583,0.000000083
"Bitbang SPI","enable",4.7487485,0.000000083
"Bitbang SPI","disable",4.748751667,0.000000083
"Bitbang SPI","enable",4.7487545,0.000000083
"Bitbang SPI","disable",4.748758167,0.000000083
"Bitbang SPI","enable",4.748761,0.000000083
"Bitbang SPI","disable",4.74876425,0.000000083
"Bitbang SPI","enable",4.748767083,0.000000083
"Bitbang SPI","disable",4.74877025,0.000000083
"Bitbang SPI","enable",4.748773083,0.000000083
"Bitbang SPI","disable",4.74877625,0.000000083
"Bitbang SPI","enable",4.748779167,0.000000083
"Bitbang SPI","disable",4.748782333,0.000000083
"Bitbang SPI","enable",4.748785167,0.000000083
"Bitbang SPI","disable",4.748788333,0.000000083
"Bitbang SPI","enable",4.74879125,0.000000083
"Bitbang SPI","disable",4.748794417,0.000000083
"Bitbang SPI","enable",4.74879725,0.000000083
"Bitbang SPI","disable",4.748800417,0.000000083
"Bitbang SPI","enable",4.748803333,0.000000083
"Bitbang SPI","disable",4.748806917,0.000000083
"Bitbang SPI","enable",4.74880975,0.000000083
"Bitbang SPI","disable",4.748813,0.000000083
"Bitbang SPI","enable",4.748815833,0.000000083
"Bitbang SPI","disable",4.748819,0.000000083
"Bitbang SPI","enable",4.748821917,0.000000083
"Bitbang SPI","disable",4.748825083,0.000000083
"Bitbang SPI","enable",4.748827917,0.000000083
"Bitbang SPI","disable",4.748831083,0.000000083
"Bitbang SPI","enable",4.748833917,0.000000083
"Bitbang SPI","disable",4.748837167,0.000000083
"Bitbang SPI","enable",4.74884,0.000000083
"Bitbang SPI","disable",4.748843167,0.000000083
"Bitbang SPI","enable",4.748846083,0.000000083
"Bitbang SPI","disable",4.74884925,0.000000083
"Bitbang SPI","enable",4.748852083,0.000000083
"Bitbang SPI","disable",4.748858583,0.000000083
"Bitbang SPI","enable",4.7488615,0.000000083
"Bitbang SPI","disable",4.748864667,0.000000083
"Bitbang SPI","enable",4.7488675,0.000000083
"Bitbang SPI","disable",4.74887075,0.000000083
"Bitbang SPI","enable",4.748873583,0.000000083
"Bitbang SPI","disable",4.74887675,0.000000083
"Bitbang SPI","enable",4.748879667,0.000000083
"Bitbang SPI","disable",4.748882833,0.000000083
"Bitbang SPI","enable",4.748885667,0.000000083
"Bitbang SPI","disable",4.748888917,0.000000083
"Bitbang SPI","enable",4.74889175,0.000000083
"Bitbang SPI","disable",4.748894917,0.000000083
"Bitbang SPI","enable",4.74889775,0.000000083
"Bitbang SPI","disable",4.748901,0.000000083
"Bitbang SPI","enable",4.748903833,0.000000083
"Bitbang SPI","disable",4.7489075,0.000000083
"Bitbang SPI","enable",4.748910333,0.000000083
"Bitbang SPI","disable",4.7489135,0.000000083
"Bitbang SPI","enable",4.748916417,0.000000083
